datetime,temp_mean,temp_min,temp_max
2022-05-03,27.469444444444445,18.65,36.3
2022-05-04,19.33146853146853,15.45,23.55
2022-05-05,17.654861111111114,14.0,22.9
2022-05-06,17.593402777777776,12.85,22.5
2022-05-07,17.291666666666668,10.65,24.4
2022-05-08,18.791666666666668,7.4,28.0
2022-05-09,23.384722222222223,11.55,34.4
2022-05-10,20.589583333333334,12.95,28.1
2022-05-11,20.213194444444444,10.8,29.05
2022-05-12,20.44965277777778,14.85,28.0
2022-05-13,22.92534722222222,11.8,33.05
2022-05-14,27.634722222222223,18.7,39.35
2022-05-15,21.259375,14.9,26.0
2022-05-16,19.378819444444446,10.85,26.6
2022-05-17,21.36388888888889,15.7,29.3
2022-05-18,21.027083333333334,11.0,30.7
2022-05-19,21.029225352112675,10.95,31.35
2022-05-20,24.469444444444445,11.95,34.35
2022-05-21,24.792708333333334,15.65,34.55
2022-05-22,21.851041666666667,17.1,27.25
2022-05-23,21.528125000000003,14.25,27.9
2022-05-24,21.946527777777778,11.55,30.9
2022-05-25,21.890972222222224,12.2,31.85
2022-05-26,23.109027777777776,17.85,31.35
2022-05-27,23.076736111111114,16.2,31.5
2022-05-28,24.052430555555556,17.85,32.1
2022-05-29,24.334375,15.8,33.5
2022-05-30,24.875,14.9,35.0
2022-05-31,24.336458333333333,14.1,33.1
2022-06-01,22.802142857142858,17.05,30.95
2022-06-02,22.662847222222222,13.8,31.5
2022-06-03,24.66701388888889,15.65,33.2
2022-06-04,25.279861111111114,14.95,34.9
2022-06-05,24.978472222222223,14.65,35.05
2022-06-06,24.624305555555555,19.4,32.6
2022-06-07,25.079513888888886,17.2,32.75
2022-06-08,25.33090277777778,17.95,33.5
2022-06-09,27.921875,16.05,36.7
2022-06-10,27.670486111111114,19.15,36.0
2022-06-11,28.62013888888889,15.4,39.8
2022-06-12,26.05880281690141,21.35,31.5
2022-06-13,24.09375,19.1,29.85
2022-06-14,24.821527777777778,17.9,32.1
2022-06-15,23.847569444444446,16.2,31.1
2022-06-16,25.005555555555556,19.2,32.2
2022-06-17,25.563636363636363,22.35,30.8
2022-06-18,25.364583333333332,19.85,32.15
2022-06-19,25.148809523809526,18.75,31.85
2022-06-20,24.193055555555556,18.8,30.95
2022-06-21,24.022916666666667,19.5,29.35
2022-06-22,24.21701388888889,19.45,29.8
2022-06-23,25.819097222222222,19.35,34.1
2022-06-24,27.037152777777777,18.1,34.7
2022-06-25,25.721180555555556,20.4,31.3
2022-06-26,24.734375,17.95,31.6
2022-06-27,25.536458333333332,18.35,33.4
2022-06-28,25.31597222222222,19.0,32.8
2022-06-29,25.228819444444444,17.3,33.05
2022-06-30,25.534374999999997,16.6,33.75
2022-07-01,25.995833333333334,18.35,33.1
2022-07-02,25.819791666666667,18.8,33.3
2022-07-03,25.916319444444444,16.9,33.35
2022-07-04,26.887500000000003,18.1,35.0
2022-07-05,27.047222222222224,18.35,33.6
2022-07-06,26.221180555555556,19.7,33.55
2022-07-07,25.95034722222222,19.35,34.0
2022-07-08,26.069444444444443,15.85,35.05
2022-07-09,26.007986111111112,18.75,33.6
2022-07-10,25.834722222222222,18.35,33.6
2022-07-11,25.589583333333334,20.25,31.6
2022-07-12,25.10763888888889,16.65,32.8
2022-07-13,26.188541666666666,20.25,33.1
2022-07-14,25.595833333333335,20.4,32.25
2022-07-15,25.758680555555557,20.9,32.2
2022-07-16,24.549999999999997,18.25,32.95
2022-07-17,25.744097222222223,18.25,33.05
2022-07-18,27.255555555555556,21.55,35.8
2022-07-19,27.790625,19.6,37.05
2022-07-20,28.107986111111114,21.1,35.25
2022-07-21,26.894444444444446,21.95,33.1
2022-07-22,26.61423611111111,20.85,33.3
2022-07-23,26.259027777777778,19.55,34.05
2022-07-24,26.648611111111112,19.9,34.35
2022-07-25,27.272916666666667,20.2,35.0
2022-07-26,26.614583333333332,15.9,36.1
2022-07-27,26.59548611111111,14.4,36.5
2022-07-28,27.540972222222223,18.9,37.2
2022-07-29,28.38888888888889,22.75,35.9
2022-07-30,27.509375,22.0,34.8
2022-07-31,26.69861111111111,20.5,34.3
2022-08-01,27.456249999999997,22.25,35.0
2022-08-02,27.360915492957748,19.2,36.75
2022-08-03,27.463986013986013,20.95,36.2
2022-08-04,27.563194444444445,21.5,35.25
2022-08-05,28.30034965034965,23.7,35.65
2022-08-06,27.880281690140844,23.2,34.9
2022-08-07,27.745833333333334,23.2,34.75
2022-08-08,27.05972222222222,21.2,34.45
2022-08-09,26.98814814814815,19.25,34.9
2022-08-10,26.330208333333335,20.0,33.35
2022-08-11,26.830208333333335,19.5,34.4
2022-08-12,26.154861111111114,20.1,33.3
2022-08-13,25.772569444444443,20.0,32.35
2022-08-14,25.9175,20.6,32.6
2022-08-15,25.55798611111111,18.05,32.75
2022-08-16,25.758333333333333,18.2,33.3
2022-08-17,26.572569444444444,21.35,33.4
2022-08-18,26.32465277777778,20.9,34.45
2022-08-19,26.34722222222222,18.6,34.75
2022-08-20,27.418750000000003,19.55,35.2
2022-08-21,28.04055944055944,20.75,35.85
2022-08-22,26.880555555555556,19.55,34.7
2022-08-23,27.19965277777778,19.15,34.65
2022-08-24,27.39340277777778,16.55,37.25
2022-08-25,27.65739436619718,19.15,37.45
2022-08-26,27.228125,23.8,33.2
